customer_id,age,gender,region,senior_citizen,partner,tenure_months,contract_type,payment_method,internet_service,monthly_charges,total_charges,avg_monthly_calls,data_usage_gb,support_tickets,streaming_tv,tech_support,online_backup,churn
CUST665822,56,Male,East,0,0,40,One Year,Bank Transfer,None,48.63,1969.3,54,7.05,0,1,0,1,0
CUST327221,69,Female,North,1,0,47,Month-to-Month,Electronic Check,DSL,20.0,,45,37.2,1,0,1,0,0
CUST805684,46,Other,North,0,1,15,Month-to-Month,Credit Card,Fiber Optic,94.69,1389.05,45,5.78,4,0,1,0,1
CUST085472,32,Female,East,0,1,15,Two Year,Electronic Check,Fiber Optic,65.36,956.6,40,3.34,1,1,0,0,0
CUST568785,60,Female,East,1,1,72,One Year,Electronic Check,None,63.82,4617.34,33,13.56,2,1,0,0,0
CUST274000,25,Female,South,0,1,72,Month-to-Month,Bank Transfer,DSL,57.08,4211.26,48,1.01,3,1,1,0,0
CUST323827,38,Female,South,0,1,7,Month-to-Month,Bank Transfer,Fiber Optic,79.84,529.03,60,1.62,1,1,0,0,1
CUST002511,56,Male,North,0,0,45,Month-to-Month,Mailed Check,DSL,62.05,,54,42.27,3,0,0,0,0
CUST682954,75,Male,South,1,1,29,Two Year,Electronic Check,None,52.77,1485.11,44,3.97,1,1,0,1,0
CUST074448,36,Female,North,0,0,5,Month-to-Month,Credit Card,Fiber Optic,56.61,261.08,55,0.4,1,1,0,0,1
CUST161032,40,Female,North,0,1,13,One Year,Electronic Check,None,66.62,931.73,44,7.72,0,1,0,1,0
CUST516153,28,Female,West,0,1,5,One Year,Credit Card,None,36.18,228.76,47,24.24,1,1,0,1,0
CUST652331,28,Female,North,0,1,10,Month-to-Month,Mailed Check,Fiber Optic,100.36,982.97,48,4.87,5,1,0,1,1
CUST785476,41,Female,South,0,1,28,Month-to-Month,Electronic Check,Fiber Optic,49.82,1364.76,51,6.52,2,1,0,1,0
CUST424039,70,Male,East,1,1,14,Month-to-Month,Credit Card,Fiber Optic,45.12,655.12,44,2.05,1,1,0,0,0
CUST975771,53,Other,East,0,1,15,Two Year,Credit Card,Fiber Optic,55.55,800.58,57,5.1,2,1,0,0,0
CUST149811,57,Female,South,0,1,23,Two Year,Mailed Check,Fiber Optic,87.73,1993.77,45,40.37,0,0,0,1,0
CUST810444,41,Male,East,0,1,2,One Year,Bank Transfer,DSL,58.29,96.5,55,25.17,1,1,1,1,0
CUST051605,20,Female,North,0,1,40,One Year,Mailed Check,DSL,94.11,3755.29,35,16.16,3,1,1,0,0
CUST375889,39,Male,East,0,0,15,Month-to-Month,Credit Card,None,56.76,822.21,40,18.51,2,0,1,0,1
CUST463614,70,Female,South,1,1,19,Month-to-Month,Mailed Check,DSL,29.48,478.37,43,13.28,3,1,0,1,0
CUST672466,19,Female,East,0,1,72,Two Year,Bank Transfer,Fiber Optic,44.13,3254.68,41,1.51,4,0,1,1,0
CUST639952,41,Male,North,0,0,12,Two Year,Electronic Check,DSL,47.85,615.21,44,1.5,3,1,1,1,0
CUST029349,61,Female,North,1,1,31,One Year,Mailed Check,Fiber Optic,81.21,2513.28,37,9.25,2,1,1,0,0
CUST588814,47,Female,South,0,1,14,One Year,Mailed Check,DSL,53.54,712.67,45,10.86,1,1,0,1,0
CUST253645,55,Male,South,0,1,67,Month-to-Month,Electronic Check,Fiber Optic,35.49,2437.77,48,42.83,3,1,0,1,0
CUST689035,19,Male,South,0,0,56,Month-to-Month,Mailed Check,DSL,28.81,1636.78,47,7.2,1,0,0,1,0
CUST116870,38,Female,West,0,1,8,One Year,Bank Transfer,Fiber Optic,20.0,,38,29.94,1,1,0,1,0
CUST830501,50,Male,West,0,1,35,Two Year,Credit Card,Fiber Optic,120.0,4225.37,55,55.67,1,1,0,1,0
CUST961441,29,Male,North,0,1,2,Month-to-Month,Mailed Check,Fiber Optic,46.27,,45,22.33,1,1,1,1,1
CUST682612,75,Male,West,1,0,72,Month-to-Month,Electronic Check,Fiber Optic,76.07,5483.63,37,6.11,3,0,1,0,0
CUST705100,39,Male,West,0,0,12,Month-to-Month,Electronic Check,None,34.83,461.08,53,16.8,0,1,1,1,0
CUST032537,61,Female,East,1,1,53,Month-to-Month,Mailed Check,Fiber Optic,95.69,5096.68,53,9.46,0,0,0,0,0
CUST105749,42,Female,West,0,1,11,One Year,Electronic Check,DSL,43.56,521.9,43,2.66,1,1,0,1,0
CUST376924,66,Male,East,1,0,30,Two Year,Credit Card,DSL,111.77,3444.69,52,1.67,3,1,1,1,0
